experiment_id,Layer 1 Down_cluster_0_ratio,Layer 1 Up_cluster_0_ratio,Layer 2 Down_cluster_0_ratio,Layer 2 Up_cluster_0_ratio,Layer 3 Down_cluster_0_ratio,Layer 3 Up_cluster_0_ratio,Layer 1 Down_cluster_1_ratio,Layer 1 Up_cluster_1_ratio,Layer 2 Down_cluster_1_ratio,Layer 2 Up_cluster_1_ratio,Layer 3 Down_cluster_1_ratio,Layer 3 Up_cluster_1_ratio
experiment_01,1.0,0.0625,1.0,0.0,1.0,1.0,0.0,0.9375,0.0,1.0,0.0,0.0
experiment_02,0.5,0.8666666666666667,0.8333333333333334,1.0,0.6666666666666666,0.5555555555555556,0.5,0.13333333333333333,0.16666666666666666,0.0,0.3333333333333333,0.4444444444444444
experiment_03,0.9333333333333333,0.13636363636363635,0.9090909090909091,0.0,1.0,1.0,0.06666666666666667,0.8636363636363636,0.09090909090909091,1.0,0.0,0.0
experiment_04,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0
experiment_05,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
experiment_06,0.8181818181818182,0.16666666666666666,1.0,0.0,0.875,0.7272727272727273,0.18181818181818182,0.8333333333333334,0.0,1.0,0.125,0.2727272727272727
experiment_07,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
experiment_08,0.5,1.0,0.3333333333333333,0.125,0.0,0.0,0.5,0.0,0.6666666666666666,0.875,1.0,1.0
experiment_09,0.0,0.8571428571428571,0.75,0.0,0.8571428571428571,0.0,1.0,0.14285714285714285,0.25,1.0,0.14285714285714285,1.0
experiment_10,0.5555555555555556,0.6428571428571429,1.0,0.05263157894736842,0.75,0.8333333333333334,0.4444444444444444,0.35714285714285715,0.0,0.9473684210526315,0.25,0.16666666666666666
experiment_11,1.0,0.038461538461538464,0.9333333333333333,0.0,0.8571428571428571,0.7058823529411765,0.0,0.9615384615384616,0.06666666666666667,1.0,0.14285714285714285,0.29411764705882354
experiment_12,0.8260869565217391,0.0,0.9090909090909091,0.0,0.9583333333333334,0.9523809523809523,0.17391304347826086,1.0,0.09090909090909091,1.0,0.041666666666666664,0.047619047619047616
experiment_13,0.8846153846153846,0.14814814814814814,1.0,0.0,1.0,0.8695652173913043,0.11538461538461539,0.8518518518518519,0.0,1.0,0.0,0.13043478260869565
experiment_14,1.0,0.17647058823529413,0.8947368421052632,0.0,0.88,1.0,0.0,0.8235294117647058,0.10526315789473684,1.0,0.12,0.0
experiment_15,1.0,0.0,0.6666666666666666,0.0,0.6,0.7727272727272727,0.0,1.0,0.3333333333333333,1.0,0.4,0.22727272727272727
experiment_16,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
experiment_17,1.0,0.0,1.0,0.0,0.8823529411764706,1.0,0.0,1.0,0.0,1.0,0.11764705882352941,0.0
experiment_18,1.0,0.05555555555555555,0.9444444444444444,0.0,0.84375,0.7419354838709677,0.0,0.9444444444444444,0.05555555555555555,1.0,0.15625,0.25806451612903225
